23 1 0 3 36 6 5 0 4 7 13 1860 94 0 247 36 6 5 0 303 574 985 23 1 0 3 34 6 6 0 4 7 13 4919 198 0 551 34 6 6 0 657 1258 2149
17 0 0 2 33 7 7 0 2 5 8 1405 62 0 190 33 7 7 0 219 399 671 18 0 0 2 31 8 7 0 2 5 8 3093 125 0 388 31 8 7 0 378 814 1476
17 0 0 1 29 8 8 0 2 3 6 1405 46 0 158 29 8 8 0 168 256 469 18 0 0 1 28 9 8 0 2 3 6 3093 92 0 330 28 9 8 0 258 557 1235
25 0 0 2 31 8 8 0 2 5 8 2152 61 0 210 31 8 8 0 174 386 671 24 0 0 2 30 8 8 0 2 5 8 4430 119 0 423 30 8 8 0 290 773 1375
25 0 0 2 26 10 10 0 2 3 8 2152 51 0 203 26 10 10 0 154 303 662 24 0 0 2 25 10 10 0 2 4 8 4430 101 0 412 25 10 10 0 220 557 1375
25 0 0 2 21 12 12 0 1 3 7 2152 42 0 185 21 12 12 0 81 232 534 24 0 0 2 21 12 12 0 1 3 7 4430 84 0 383 21 12 12 0 165 490 1125
25 0 0 2 21 12 12 0 1 3 7 2152 43 0 185 21 12 12 0 86 246 534 24 0 0 2 21 12 12 0 1 3 7 4430 88 0 385 21 12 12 0 166 508 1125
25 0 0 2 22 11 11 0 2 4 10 2152 58 0 226 22 11 11 0 148 308 773 24 0 0 2 22 11 11 0 2 4 10 4430 122 0 488 22 11 11 0 246 678 1382
24 0 0 2 21 12 8 0 1 3 7 1811 42 0 178 21 12 8 0 81 244 725 22 0 0 2 21 12 8 0 1 3 7 4132 92 0 404 21 12 8 0 156 504 1249
24 0 0 2 23 11 8 0 1 3 7 1811 44 0 179 23 11 8 0 92 244 725 22 0 0 2 23 11 8 0 1 3 7 4132 99 0 408 23 11 8 0 220 508 1249
24 0 0 2 25 10 8 0 1 3 6 1811 39 0 162 25 10 8 0 92 244 438 22 0 0 2 25 10 8 0 1 3 6 4132 85 0 360 25 10 8 0 194 504 990
24 0 0 2 25 10 10 0 1 3 6 1811 37 0 161 25 10 10 0 85 222 438 22 0 0 2 25 10 10 0 1 3 6 4132 83 0 360 25 10 10 0 145 477 990
13 0 0 1 24 11 10 0 0 2 4 1020 23 0 95 24 11 10 0 0 153 315 13 0 0 1 24 11 10 0 0 2 5 2064 52 0 203 24 11 10 0 0 448 851
8 0 0 0 24 11 9 0 0 2 4 612 20 0 74 24 11 9 0 0 150 307 8 0 0 0 24 11 9 0 0 2 4 1040 46 0 166 24 11 9 0 0 424 747
10 0 0 1 22 12 11 0 0 2 4 744 21 0 84 22 12 11 0 0 151 312 10 0 0 1 22 12 11 0 0 2 4 1474 47 0 178 22 12 11 0 0 420 747
20 0 0 2 20 13 10 0 1 3 8 1520 39 0 172 20 13 10 0 74 240 675 22 0 0 2 20 13 10 0 1 3 6 4004 89 0 402 20 13 10 0 146 531 1000
20 0 0 2 25 10 8 0 2 3 8 1520 44 0 174 25 10 8 0 144 254 675 22 0 0 2 25 10 8 0 2 3 6 4004 97 0 404 25 10 8 0 204 590 1000
20 0 0 2 26 10 7 0 2 3 8 1520 43 0 173 26 10 7 0 141 244 675 22 0 0 2 26 10 7 0 1 3 6 4004 93 0 400 26 10 7 0 189 528 930
20 0 0 2 22 12 10 0 1 3 8 1520 41 0 172 22 12 10 0 77 243 675 22 0 0 2 22 12 10 0 1 3 6 4004 87 0 397 22 12 10 0 141 504 930
37 0 0 3 26 9 9 0 2 4 13 2984 65 0 258 26 9 9 0 160 286 1012 37 0 0 3 26 9 9 0 2 4 13 5423 137 0 540 26 9 9 0 343 672 2206
37 0 0 2 28 9 9 0 2 3 8 2984 60 0 234 28 9 9 0 184 284 618 37 0 0 2 25 10 9 0 2 4 8 5423 116 0 450 25 10 9 0 379 643 1377
37 0 0 3 26 9 9 0 2 4 9 2984 63 0 243 26 9 9 0 184 300 719 37 0 0 3 23 11 9 0 2 4 9 5423 123 0 472 23 11 9 0 288 718 1725
37 0 0 3 24 10 10 0 2 7 13 2984 75 0 275 24 10 10 0 187 499 1012 37 0 0 3 21 12 10 0 2 5 13 6507 157 0 620 21 12 10 0 403 883 2114
37 1 0 3 29 8 9 0 3 7 13 2984 85 0 278 29 8 9 0 244 561 1012 37 1 0 3 26 9 9 0 3 6 13 6507 178 0 628 26 9 9 0 504 1085 2114
30 0 0 3 29 8 8 0 2 7 12 2316 77 0 250 29 8 8 0 224 561 901 34 0 0 3 26 9 9 0 2 6 11 6507 156 0 577 26 9 9 0 395 923 1809
124 2 0 9 25 9 10 0 3 9 25 9508 163 0 754 25 9 10 0 244 718 1974 116 2 0 9 25 9 10 0 2 9 30 17800 352 0 1620 25 9 10 0 403 1637 4291
124 2 0 9 25 9 10 0 2 8 25 9508 157 0 753 25 9 10 0 172 658 1974 116 2 0 9 25 10 10 0 2 8 30 17800 338 0 1616 25 10 10 0 389 1132 4291
124 2 0 9 29 8 8 0 3 9 26 9508 170 0 756 29 8 8 0 250 726 2005 116 2 0 9 29 8 8 0 3 9 26 17800 361 0 1602 29 8 8 0 521 1529 4274
124 2 0 9 30 8 8 0 3 10 26 9508 169 0 757 30 8 8 0 245 748 2005 116 2 0 9 30 8 8 0 3 10 26 17800 363 0 1608 30 8 8 0 516 1723 4274
